id,name,roman_name,sort
1,Hà Nội,Hà Nội,10
2,Hà Tây,Hà Tây,20
3,Hà Nam,Hà Nam,30
4,Hải Phòng,Hải Phòng,40
5,Đà Nẵng,Đà Nẵng,50
6,Huế,Huế,60
7,TPHCM,TPHCM,70
8,Cần Thơ,Cần Thơ,80
9,Lai Châu,Lai Châu,90
10,Nha Trang,Nha Trang,100
11,Đà Lạt,Đà Lạt,110
12,Bắc Ninh,Bắc Ninh,120
13,Quảng Ninh,Quảng Ninh,130
14,Đồng Nai,Đồng Nai,140
